pecha_id,split,source_batch,chars,n_gold
I058DD999,train,new,165717,0
I0FCFA88F,test,new,239456,144
I100E7DAD,train,new,341946,0
I1637B774,train,new,27637,432
I19A08A51,val,new,14897,18
I2133CA39,train,new,299998,184
I23323023,train,new,84969,195
I25463E37,train,new,162273,60
I27E347E9,train,new,402984,15
I2D96E5C8,train,new,570550,15
I2EAAF38A,val,new,133233,62
I319DAFF7,test,new,6503,17
I36A7A668,train,new,360191,83
I3F4A91F5,test,new,330806,58
I40E5024E,train,new,198256,41
I454D2699,val,new,78275,40
I4B1806B4,val,new,204827,69
I4CAE7B8B,train,new,260997,147
I4FABF1F8,train,new,247608,11
I4FD99A33,val,new,293101,79
I4FDF07E7,val,new,10399,43
I5134B437,train,new,336701,207
I575514A8,test,new,55550,33
I587B7DED,train,new,22518,46
I617FDD1E,train,new,3076,10
I6D11E414,train,new,273482,125
I7D476A8B,train,new,256893,38
I8698A1DF,val,new,96422,156
I881A57E8,train,new,123453,1710
I88977D82,train,new,244713,32
I895C519A,val,new,19661,122
I8994AAB2,train,new,321927,232
I8B49E87B,val,new,315392,71
I920AA7AC,train,new,336116,309
I9779A606,train,new,320369,12
I9811592F,val,new,116840,61
I98D03292,train,new,412649,338
I9AEEF96A,test,new,11369,19
I9B6A4525,test,new,246392,200
I9CB71958,train,new,31805,138
I9D9C7AC9,test,new,14402,43
I9FF2B59B,train,new,153228,1229
IA2F1ACFA,train,new,284423,53
IA473D353,val,new,108809,56
IAE1E11E5,train,new,150336,58
IB047F8C7,train,new,272888,58
IB522F095,train,new,281185,383
IB8D599AA,train,new,388143,307
IB8F4E5BE,train,new,916694,61
IBC775AF6,train,new,284388,20
IBFACCCDF,train,new,141184,120
IC05A6BE0,test,new,126988,166
IC5CE7FE9,train,new,339122,234
IC6F06BCD,test,new,272537,14
IC87920B7,train,new,200891,86
ICDC84458,test,new,674665,61
ID4AD2D0E,train,new,8919,15
IDAD44BA2,train,new,19963,507
IDDA7F69E,train,new,533162,25
IE5895799,test,new,247282,29
IEE67309C,train,new,222314,24
IEF3A4022,train,new,402148,539
IF3ACC3E1,test,new,35731,747
IF428CDDB,train,new,414209,342
IF7A04537,train,new,234686,164
IF84B2E71,train,new,130583,17
IFE0B60AA,train,new,34506,17
IFF541F44,train,new,208766,88
P000013,test,old,146342,89
P000020,train,old,289013,11
P000021,train,old,268019,137
P000022,train,old,380072,42
P000026,train,old,38055,25
P000027,test,old,74767,51
P000028,val,old,546785,103
P000044,train,old,221545,243
P000046,train,old,250389,195
P000055,train,old,303755,171
P000056,test,old,73194,108
P000067,test,old,501704,207
P000068,train,old,560179,103
P000070,train,old,368106,76
P000071,val,old,237897,81
P000074,train,old,663463,35
P000078,train,old,842034,377
P000081,train,old,473180,177
P000083,test,old,318034,190
P000084,val,old,152131,80
P000094,train,old,197515,39
P000117,train,old,73460,45
P000118,test,old,80775,52
P000123,train,old,403680,17
P000127,train,old,213073,18
P000128,train,old,118004,76
P000129,train,old,502945,194
P000132,train,old,157152,83
P000141,train,old,87122,60
P000144,test,old,247849,113
P000145,train,old,248948,100
P000151,train,old,507551,181
P000153,train,old,166973,102
P000161,val,old,537718,335
P000162,train,old,194650,27
P000164,test,old,467097,183
P000175,val,old,362606,280
P000179,train,old,350528,169
P000185,train,old,143370,56
P000193,train,old,176415,12
P000195,train,old,299336,216
P000199,train,old,702627,187
P000203,train,old,178374,102
P000207,train,old,278772,129
P000213,train,old,153585,153
P000215,val,old,164993,16
P000218,train,old,847725,22
P000219,train,old,335434,27
P000224,train,old,788838,337
P000225,train,old,619695,31
P000237,val,old,148092,28
P000241,train,old,512916,23
P000242,test,old,463558,171
P000246,train,old,733082,253
P000259,train,old,137046,151
P000269,test,old,314487,39
