pecha_id,split,category,a_start,a_end,b_start,b_end,b_len,b_overlaps_quotation_gold
I0FCFA88F,test,named_source,144524,144640,144665,144784,119,4
I0FCFA88F,test,named_source,144665,144784,144815,144924,109,4
I0FCFA88F,test,named_source,145901,145993,146015,146105,90,3
I0FCFA88F,test,named_source,146015,146105,146144,146290,146,4
I0FCFA88F,test,named_source,146144,146290,146341,146452,111,3
I0FCFA88F,test,named_source,183023,183182,183222,183285,63,0
I0FCFA88F,test,unclear,209945,210059,210075,210178,103,0
I0FCFA88F,test,named_source,210075,210178,210214,210316,102,0
ICDC84458,test,unclear,48584,48693,48739,48851,112,4
ICDC84458,test,named_source,149286,149522,149548,149873,325,11
I2133CA39,train,named_source,280921,281144,281171,281257,86,0
I2133CA39,train,named_source,288022,288149,288183,288277,94,0
I25463E37,train,unclear,67406,67444,67494,67533,39,0
I25463E37,train,unclear,73791,73832,73891,73926,35,1
I2D96E5C8,train,named_source,143507,143633,143672,143787,115,0
I2D96E5C8,train,named_source,143672,143787,143847,143964,117,0
I587B7DED,train,named_source,5169,5276,5309,5459,150,4
I587B7DED,train,named_source,6898,6961,6988,7041,53,1
I587B7DED,train,named_source,6988,7041,7074,7129,55,2
I587B7DED,train,named_source,7074,7129,7160,7217,57,2
I587B7DED,train,named_source,7160,7217,7241,7362,121,4
I587B7DED,train,named_source,7241,7362,7382,7449,67,2
I587B7DED,train,named_source,8268,8323,8350,8439,89,3
I587B7DED,train,named_source,9647,9774,9819,9928,109,4
I587B7DED,train,named_source,12104,12224,12244,12329,85,2
I587B7DED,train,named_source,12849,13033,13069,13124,55,2
I587B7DED,train,named_source,16699,16810,16848,16964,116,4
I587B7DED,train,named_source,16848,16964,16997,17068,71,2
I587B7DED,train,named_source,19332,19513,19545,19656,111,4
I88977D82,train,named_source,167462,167536,167559,167809,250,0
IC87920B7,train,named_source,102532,102672,102704,102824,120,4
P000070,train,outline_heading,15194,15809,15858,16090,232,0
P000070,train,outline_heading,15858,16090,16145,16653,508,0
P000070,train,outline_heading,101165,102021,102059,102299,240,0
P000070,train,outline_heading,105389,106258,106311,106467,156,0
P000070,train,outline_heading,106311,106467,106514,107157,643,0
P000145,train,named_source,89757,89865,89888,90023,135,0
P000145,train,named_source,204766,205053,205078,205351,273,0
I8698A1DF,val,named_source,8408,8427,8448,8566,118,0
